t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
1.66,2.63,0.83,0.08,1.5,1.23,5.72,4.18,0.89,1.02
1.69,5.3,1.16,2.54,3.01,0.86,2.32,2.05,0.55,3.83
1.69,0.51,2.46,1.62,3.82,2.11,3.74,3.18,0.02,2.59
1.99,1.77,3.13,2.8,2.91,4.06,1.77,2.36,2.16,3.39
1.05,2.97,3.23,2.77,1.69,3.01,1.81,5.98,2.5,1.23
6.86,0.08,2.22,1.01,0.58,2.3,0.78,2.06,2.32,2.65
2.48,1.1,2.03,2.04,0.22,3.55,2.25,2.26,1.54,3.96
0.05,2.28,0.19,1.49,1.5,0.01,2.43,4.27,4.17,2.58
0.39,3.22,0.04,0.17,3.06,1.44,2.96,0.47,1.09,4.64
0.44,1.93,1.25,2.72,1.53,1.82,2.21,7.55,4.06,2.67
0.02,2.95,0.61,4.89,3.97,2.86,1.29,0.61,0.68,0.51
0.61,4.33,3.72,1.45,0.65,1.07,1.19,0.92,2.73,0.76
0.35,3.16,1.57,1.08,1.75,0.12,2.23,1.73,1.56,1.45
1.78,2.01,1.11,1.61,2.5,0.66,1.75,0.37,1.37,2.48
3.81,1.07,3.03,0.54,0.69,3.57,1.94,1.96,0.88,1.61
0.67,1.19,2.35,0.15,1.9,1.39,1.76,0.81,0.12,1.82
2.9,3.58,0.63,0.24,2.63,0.3,5.06,4.84,1.59,0.87
2.19,4.16,2.92,1.28,5.65,0.47,2.23,2.14,1.76,0.26
0.94,0.07,3.4,2.25,1.92,0.62,2.54,1.58,3.58,1.51
2.34,6.63,2.4,0.73,2.54,0.75,0.29,2.52,3.3,0.42
1.38,3.24,5.84,5.88,0.26,1.83,1.02,0.04,2.4,0.49
1.43,3.73,0.66,0.23,1.28,1.04,2.41,1.18,2.79,3.29
3.84,1.52,3.86,3.22,5.09,0.62,3.38,0.61,2.14,2.57
1.12,0.43,1.22,5.84,1.98,3.32,2.33,0.42,0.13,0.63
0.04,1.72,2.62,2.34,1.7,4.22,0.81,0.1,0.23,4.35
1.52,2.68,1.96,0.32,0.84,0.63,0.63,1.57,2.03,4.76
1.55,0.06,0.35,1.26,0.38,0.89,0.48,0.9,0.56,4.93
3.72,1.18,1.06,0.26,2.37,0.59,1.31,0.25,1.32,2.77
1.46,5.9,2.81,2.07,1.27,2.98,2.27,1.64,1.09,2.15
2.61,4.96,5.77,0.2,1.4,3.76,3.58,2.43,1.68,2.91
1.24,2.98,1.03,1.67,1.38,0.92,1.98,0.99,0.76,1.15
1.34,2.78,1.57,2.25,1.31,3.73,4.55,2.38,0.15,0.12
2.1,2.67,1.14,3.97,1.99,2.87,1.22,2.3,1.93,1.16
0.34,1.55,2.52,3.54,0.1,0.15,0.1,2.32,0.83,3.15
1.22,0.21,4.14,0.61,1.61,2.46,0.58,3.41,0.38,5.43
0.86,0.57,0.95,0.86,0.22,1.22,1.58,2.37,0.41,2.24
0.57,0.68,2.02,0.59,2.02,0.62,4.37,1.77,3.12,0.92
1.96,2.23,0.56,3.05,0.67,0.56,0.06,0.53,1.13,2.83
3.36,4.13,2.71,0.9,0.7,3.36,1.77,0.76,0.49,0.08
1.9,4.33,1.14,3.57,0.72,0.99,2.11,0.6,1.55,1.83
4.35,1.29,0.49,1.92,1.09,1.82,0.87,3.49,2.1,3.3
0.23,2.04,4.1,1.33,1.24,1.56,0.03,1.01,2.89,0.13
2.63,0.06,3.31,0.27,0.95,1.76,1.43,0.11,0.69,0.31
