h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,average,water_level
0.7487561,0.53979355,1.1983538,5.3672895,2.1226685,2.4165974,3.1182117,0.8211367,1.809335,0.39376724,1.8535907,3.524227
0.1918585,2.530718,2.0078907,0.7673544,2.5371943,1.68331,0.2667251,1.793442,2.8212287,3.0688019,1.7668524,3.7168612
2.5931768,1.8428729,0.0563254,1.1625321,0.80626595,1.7465684,1.351399,2.390057,3.585126,1.1608045,1.6695127,3.4119759
4.423494,1.453887,0.6237379,0.16962501,1.0324638,2.4798322,4.880364,7.688145,2.063509,1.5047045,2.6319764,5.4335403
2.1181579,0.32433885,2.417057,2.1189938,0.71722347,2.7142072,1.3559815,2.703967,2.2446475,4.237044,2.095162,4.464804
0.9937581,4.443199,1.2783275,0.6249588,3.804532,3.7700372,3.0936635,0.5037918,1.1290773,6.254735,2.589608,5.368655
3.932993,1.3105443,2.005169,4.0650525,3.1213622,0.75594735,8.2429495,0.056430012,1.8270217,3.6969728,2.9014442,5.682747
5.557282,4.59429,0.8577292,0.03113557,8.793532,2.6482024,5.043875,4.707915,3.5698643,7.1156287,4.2919455,8.791911
5.135153,0.76804245,2.780144,6.1851454,0.11607684,0.03810412,0.7570574,1.7626851,1.0686547,3.3777418,2.1988804,4.004879
1.5998616,1.3718296,1.9691616,1.8054078,0.092263,0.75822294,1.4402566,1.2551957,0.028423933,2.7172856,1.3037908,2.5419395
0.45445633,2.5682313,2.5399666,2.362771,0.38674712,4.296017,2.925541,1.5457449,1.2398252,6.517549,2.483685,5.345186
0.08713686,0.35400447,0.9565689,4.7146845,6.5969515,2.4174404,0.974946,4.330943,2.010646,4.1041574,2.6547477,5.62899
2.8209279,1.9136095,1.1029818,0.8876349,0.6406402,1.1356118,1.2677108,5.751092,1.324265,4.1230803,2.0967553,4.481022
0.69138455,3.7766733,7.2317085,3.1235929,2.7124343,0.51990163,0.7961019,3.0947633,1.683819,5.9031367,2.9533515,5.838289
0.5106197,0.79368436,3.1623058,4.7187767,0.13928892,3.81485,2.2046852,4.366474,1.268793,3.6270168,2.4606495,5.1173744
0.35209262,0.54327506,4.0724726,4.503172,1.0109156,0.76794386,2.3026736,4.1960993,3.8538094,7.695862,2.9298315,6.616156
4.099699,4.423954,3.0299542,5.3123784,6.455608,0.19539772,0.8851677,2.0639226,1.9206069,5.818821,3.4205508,6.470913
0.51969284,0.07942398,2.868042,2.228174,0.7322198,0.6418034,1.5926065,0.54226214,4.2007217,0.86423296,1.4269179,2.9670084
1.6851583,0.41600347,0.7041465,5.093423,0.78651285,1.6192951,3.3854048,1.1572508,5.0768237,3.2109404,2.313496,4.976354
1.5989923,1.05407,4.3755064,2.983654,1.5569308,0.4063111,1.681407,2.716354,6.0550137,3.3662531,2.5794492,5.453803
8.899302,1.5944848,0.31807524,1.7322857,6.876333,2.9436786,1.5587234,2.2864954,1.7095957,4.826501,3.274547,6.1656437
2.0511682,1.807895,1.3969142,2.3428895,1.3267812,1.0447123,5.0679355,0.49238285,3.8092227,2.1578655,2.1497767,4.3903675
0.565526,6.3481045,1.3266114,3.0359125,5.460868,0.7346232,3.9620614,3.5678983,3.4378603,0.9637643,2.940323,5.6227264
2.8333478,4.7278104,2.5484772,1.1240666,4.5737715,6.796097,4.219939,1.6100144,3.3008423,7.443101,3.9177468,8.070948
3.548559,1.4922884,3.6691597,4.6549187,0.785156,3.2825508,0.45743725,3.0739388,2.464887,0.6652373,2.4094133,4.37107
0.5345658,2.1411989,1.3870127,0.91419715,2.155719,3.1462364,1.8611673,0.6846491,5.5522447,4.099896,2.2476888,4.9870543
5.511167,0.9658681,0.695715,0.88899636,0.5647925,2.3601365,0.6411183,5.97071,2.5256014,3.998768,2.4122872,5.044071
1.3086886,0.60121495,3.2199054,0.57474375,0.28497338,3.0658588,4.5537395,5.332354,0.3162195,0.45415258,1.9711851,3.9506233
3.1008554,7.0857897,1.8036137,3.0689843,2.5601375,0.3586104,0.5239469,2.303415,1.8145211,0.6517416,2.3271616,3.9074209
2.3231194,1.4255956,4.0964885,3.2501006,1.8090699,0.6037242,1.448616,4.8857985,3.7530794,1.1750191,2.477061,4.8692822
1.7835963,1.3257697,0.48234138,3.0443797,2.6803334,0.573418,2.22121,4.8931065,0.3723502,10.305821,2.7682328,6.3878574
3.198421,3.148389,5.664091,0.5485296,3.804184,0.9263271,0.06813477,3.2046719,3.2015772,1.8904641,2.5654788,4.759942
2.6354744,2.2570107,3.100915,0.6716367,0.8776618,0.022469565,2.9812546,0.25795567,0.41173762,0.79385006,1.4009966,2.3737154
0.6236342,4.58499,1.489965,2.019899,2.2517784,1.6318331,1.7496815,3.3311095,1.1425339,2.9179273,2.1743352,4.2964864
3.5238457,3.475873,1.5666227,0.17092155,4.592946,3.6411924,2.8516164,2.7639508,0.69779265,1.4562156,2.4740975,4.561361
2.391527,3.9066482,1.1890221,7.1978683,5.1401796,1.3350204,1.0210686,3.2983112,0.79332286,5.066724,3.133969,6.032999
2.6868212,1.2711836,2.0908768,4.68128,6.3299546,3.3782094,1.2751747,2.7080543,1.8821573,3.6314812,2.9935193,5.8436346
1.2463342,0.3980776,1.6217797,3.7699335,1.8458023,5.4942474,5.349306,0.7009848,2.047708,1.7321627,2.4206338,4.851195
4.3806434,2.160024,1.5802672,3.1793926,1.0455647,1.2266388,1.1502724,2.320755,5.8225675,3.6696782,2.6535802,5.4369025
1.4202417,2.2253814,4.199891,0.752054,0.31195503,1.5536022,4.734639,6.015361,1.3421669,4.428212,2.6983504,5.724099
0.9367901,4.877106,0.96145535,0.18585747,2.6727142,2.2521524,3.6877255,3.937892,0.9441744,0.5582315,2.1014097,4.008864
1.4718914,4.6770973,4.092148,2.730395,2.709181,4.4108253,6.513664,6.1042643,1.8253796,3.524972,3.8059814,7.603889
1.0746868,4.969733,1.1334021,1.4871819,0.081303224,6.558428,0.07257824,3.9572816,2.5531328,2.6777303,2.4565458,4.9418893
2.2003608,3.4064648,4.1369877,1.269396,6.7468176,7.1398525,2.484241,0.29515785,3.2862632,0.18962458,3.1155167,5.651366
3.4491477,3.997583,0.89794266,1.4129986,2.6310515,5.280342,1.6258469,1.0962625,1.2077627,2.3439145,2.3942852,4.4278994
2.9075437,4.363075,3.1105895,0.62984055,0.10827311,1.0488718,4.0889096,5.2924175,2.245085,2.153605,2.5948207,5.106319
2.453147,1.0544525,3.9152002,2.452167,10.357004,2.3188305,1.5732398,1.4456174,4.538199,3.8044345,3.3912292,6.727159
1.7571226,4.284389,1.1227847,4.8652563,6.3773823,0.0064180866,0.44008374,1.4853996,0.42613995,3.6521451,2.4417121,4.493193
2.5424726,3.8644516,4.0109677,2.636546,2.4559946,0.036250357,2.5337026,0.47078303,4.0260315,0.9937656,2.3570964,4.2863245
3.1219587,1.5220782,1.4869131,1.5034084,4.2988434,0.3127661,2.436453,2.43106,1.4576236,1.0240034,1.9595108,3.6599107
1.2304385,0.72445977,2.6494908,2.2457275,1.7213697,1.4714795,6.914353,1.8889534,1.6208827,5.3212934,2.5788445,5.5745583
5.594596,1.7083687,2.0923529,2.6841118,1.8704562,2.1666028,1.3224293,0.110737614,1.3389659,0.80560255,1.9694226,3.2761452
4.5141597,0.43842536,2.4372284,2.5462117,0.79460394,4.1870337,1.732012,0.22000396,2.169961,5.9246044,2.4964242,5.0973635
3.045278,2.941566,0.28528497,1.2563545,4.805682,7.5068083,1.7363548,2.1345155,0.84197485,0.030880872,2.4584699,4.438957
4.8823595,1.9892002,1.9488707,0.2886489,4.223919,0.19602516,0.9668261,0.46611506,6.756172,6.8898573,2.8607993,6.1526775
0.30290776,5.2792573,5.3009953,4.7348833,0.42982566,0.39676684,1.8057902,7.0165815,3.2178576,5.175329,3.3660195,6.908112
5.7462397,3.8574715,2.6907446,2.1590834,2.3078012,4.4151206,2.05651,1.8473303,0.8337917,5.518775,3.143287,5.953602
1.8776021,9.032797,0.56694627,3.5311546,1.0451146,0.79860556,0.8248896,1.4944404,10.512032,2.5055268,3.2189107,6.504841
1.4276448,1.6030321,5.8940864,1.5863246,2.709802,4.4067965,4.6149898,2.3562427,8.065587,0.3206174,3.2985122,6.674776
2.5345213,0.6339824,3.3885493,8.435737,5.225387,0.12829763,0.52031493,0.23830381,0.78232944,0.5394015,2.2426825,3.7032633
1.7515858,3.7703168,1.4813416,8.090363,2.0155172,6.0173016,3.755428,1.1912744,1.1252646,0.98096776,3.0179362,5.443232
1.4912927,0.056602918,4.506743,6.36623,0.97971207,0.8391929,1.6308305,0.4457487,0.58746445,6.504361,2.340818,4.7559223
0.05918599,0.08622284,2.4660392,2.9967475,5.112859,4.809476,6.481745,3.1629288,1.2911246,1.2056463,2.7671976,5.598465
0.6191176,0.39965063,0.54785264,5.252936,2.0937243,0.23351976,2.8420918,3.685353,2.4721437,1.286742,1.943313,4.027135
2.353135,0.40867448,2.7431126,3.718647,2.632667,2.3794866,4.0481377,4.6664333,5.0887313,2.5454931,3.058452,6.4043508
2.1755972,0.60387015,4.8955917,2.975229,2.45684,2.2537527,0.8231257,1.990876,1.0258532,2.664564,2.18653,4.126634
2.2927861,0.6717922,1.2081517,2.5975626,0.88425136,0.07330068,4.5931664,1.2515626,1.9124339,4.7866693,2.0271676,4.3728123
3.7982733,0.578821,6.3332615,2.9549298,3.7580752,0.5300124,1.0490572,2.264121,4.481854,2.5305283,2.8278935,5.414996
0.02745042,4.502775,0.047394045,0.1450356,2.1314306,1.7180374,1.0362868,6.055006,0.11227448,4.8488884,2.0624578,4.5133247
1.2406492,4.444132,2.9405048,3.5352788,1.1640195,0.87659156,1.1460619,5.7771654,0.45406872,5.542624,2.7121096,5.522302
0.43976575,4.7674265,2.4433281,2.9978802,1.2431118,0.39228213,0.41912672,1.2704407,4.5398955,1.22914,1.9742397,3.7876484
1.0185765,7.3872423,7.292778,1.5913062,1.9376804,2.7518244,0.9072076,2.4538598,3.989862,1.9636557,3.1293993,5.718463
2.7100458,0.21891493,0.41728216,0.19073328,3.2517943,3.838986,4.5723405,3.7897618,3.7306547,3.3455524,2.6066065,5.697032
0.031133825,2.7069163,1.5893476,3.109156,1.9222414,3.0727592,2.0068212,1.4189928,5.2772536,2.238391,2.3373013,4.9023576
3.5288022,1.8130513,2.1605034,2.1290526,4.9374275,2.6991425,5.015716,2.900261,3.8975792,0.49010223,2.9571638,5.7007256
3.0965028,0.9299346,4.636173,3.0603127,4.7350936,4.520932,4.0727844,0.58593255,3.0064006,0.70503855,2.9349103,5.418141
5.486306,1.4821427,0.73778814,4.0461082,0.9852539,1.4544041,0.4135016,3.2351456,2.304178,0.31478077,2.045961,3.6339417
1.916013,0.95953333,1.8867879,1.4434903,7.29971,2.5860243,0.04023219,8.635957,0.70858216,6.4592495,3.1935582,6.886034
1.6654496,0.08367373,1.4455621,1.5614473,4.012374,2.1922512,0.8603788,2.6460783,0.0870474,5.484369,2.003863,4.302998
0.90680575,2.575611,2.7080271,1.4043452,1.2507446,2.6320403,2.4769793,0.8387779,2.2827735,0.91739,1.7993495,3.4272141
0.15993285,5.344038,1.7154577,2.9282565,0.9605854,1.660691,7.298812,2.5112598,2.6965935,1.7527689,2.7028396,5.3791623
1.112019,8.8347225,2.7656436,2.7647572,3.526876,1.2226055,0.7894628,0.45318022,0.2212753,0.21328528,2.1903827,3.379723
1.2125018,3.4016898,4.7781467,0.3309116,0.65717864,0.9481192,0.07182342,5.924737,4.7858887,4.031283,2.6142278,5.5786185
4.1695786,2.650305,0.715611,0.9795642,2.1425314,0.5455351,6.003664,3.400804,3.7142024,5.642585,2.9964383,6.4076586
1.5502135,0.15725891,1.1777239,1.8539107,1.6912167,5.424781,5.3835983,2.401393,3.0970917,2.9345732,2.567176,5.509919
